Category: Expenditures
Subcategory: Total average annual expenditures
Item: Average annual expenditures

"Year","Period","Estimate","Standard Error","Relative Standard Error","Aggregate Expenditure (in millions of dollars)","Share of Aggregate Expenditure"
"2019","Annual",47230,1574.76,3.33,827566,9.9
"2020","Annual",47398,1345.64,2.84,818787,10.2
"2021","Annual",50592,1455.87,2.88,911424,10.2
"2022","Annual",58000,1863.54,3.21,1013458,10.4
"2023","Annual",58167,1743.33,3.00,1046272,10.1
"2024","Annual",58100,1852.33,3.19,1059028,9.9"



Category: Expenditures
Subcategory: Food
Item: Food

"Year","Period","Estimate","Standard Error","Relative Standard Error","Aggregate Expenditure (in millions of dollars)","Share of Aggregate Expenditure"
"2019","Annual",5983,307.04,5.13,101163,9.4
"2020","Annual",5923,411.20,6.94,100219,10.4
"2021","Annual",6052,299.97,4.96,111746,10.1
"2022","Annual",7180,374.92,5.22,123927,9.9
"2023","Annual",7844,350.80,4.47,142234,10.6"
"2024","Annual",6746,346.61,5.14,124179,9.0


Category: Expenditures
Subcategory: Alcoholic beverages
Item: Alcoholic beverages

"Year",",Period","Estimate","Standard Error","Relative Standard Error","Share of Total Expenditures","Aggregate Expenditure (in millions of dollars)","Share of Aggregate Expenditure"
"2019","Annual",213,29.91,14.01,0.5,3626,4.7
"2020","Annual",226,50.85,22.49,0.5,3829,6.1
"2021","Annual",212,31.45,14.81,0.4,3905,5.3
"2022","Annual",354,47.36,13.37,0.6,6161,7.9
"2023","Annual",290,42.56,14.67,0.5,5254,6.1
"2024","Annual",277,41.37,14.94,0.5,5090,5.8"

Subcategory: Housing
Item: Housing

"Year","Period","Estimate","Standard Error","Relative Standard Error","Share of Total Expenditures","Aggregate Expenditure (in millions of dollars)","Share of Aggregate Expenditure"
"2019","Annual",17176,463.13,2.70,36.4,302945,11.1
"2020","Annual",18186,396.38,2.18,38.4,315240,11.2
"2021","Annual",19057,520.40,2.73,37.7,341861,11.3
"2022","Annual",21395,707.06,3.30,36.9,374702,11.5
"2023","Annual",20698,571.11,2.76,35.6,371732,10.9
"2024","Annual",22294,844.79,3.79,38.4,405739,11.4

Subcategory: Apparel and services
Item: Apparel and services

